,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Major_Category_Arts,Major_Category_Business,Major_Category_Humanities,Major_Category_Medical,Major_Category_STEM,Primary_Use_Case_Copywriting/Drafting,Primary_Use_Case_Debugging/Troubleshooting,Primary_Use_Case_Direct_Answer_Generation,Primary_Use_Case_Ideation,Primary_Use_Case_Summarizing_Reading,Institutional_Policy_Actively_Encouraged,Institutional_Policy_Allowed_With_Citation,Institutional_Policy_Strict_Ban
Year_of_Study,1.0,-0.0,-0.0,0.0,0.01,-0.0,0.0,-0.0,-0.01,0.08,0.09,0.16,0.0,-0.01,0.01,-0.01,0.01,0.0,0.0,0.0,-0.0,-0.01,0.0,-0.01,0.01
Pre_Semester_GPA,-0.0,1.0,-0.0,-0.01,-0.01,-0.0,-0.0,0.0,-0.0,0.93,0.1,-0.1,0.0,-0.01,0.0,0.0,-0.0,-0.01,0.0,0.01,-0.0,0.01,0.0,-0.0,-0.0
Weekly_GenAI_Hours,-0.0,-0.0,1.0,0.02,0.01,0.2,-0.16,0.67,0.27,-0.02,-0.12,0.47,-0.05,-0.01,-0.1,-0.04,0.16,-0.05,0.07,0.0,-0.0,-0.01,0.0,-0.0,-0.0
Prompt_Engineering_Skill,0.0,-0.01,0.02,1.0,0.6,0.02,-0.0,0.01,0.0,0.04,0.33,0.01,-0.02,-0.05,-0.04,-0.02,0.1,-0.02,0.05,-0.0,-0.02,-0.0,-0.0,0.0,0.0
Tool_Diversity,0.01,-0.01,0.01,0.6,1.0,0.01,0.0,0.01,0.0,0.03,0.2,0.01,-0.01,-0.03,-0.02,-0.01,0.06,-0.01,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,0.01
Paid_Subscription,-0.0,-0.0,0.2,0.02,0.01,1.0,-0.04,0.13,0.07,0.01,-0.02,0.1,-0.01,-0.01,-0.02,-0.01,0.05,-0.02,0.02,-0.0,-0.0,-0.0,0.0,0.0,-0.0
Traditional_Study_Hours,0.0,-0.0,-0.16,-0.0,0.0,-0.04,1.0,-0.1,-0.04,0.14,0.15,-0.14,0.01,-0.0,0.01,0.01,-0.03,0.01,-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0
Perceived_AI_Dependency,-0.0,0.0,0.67,0.01,0.01,0.13,-0.1,1.0,0.31,-0.01,-0.08,0.37,-0.03,-0.01,-0.07,-0.02,0.1,-0.04,0.04,-0.0,-0.0,-0.0,0.01,-0.0,-0.01
Anxiety_Level_During_Exams,-0.01,-0.0,0.27,0.0,0.0,0.07,-0.04,0.31,1.0,-0.02,-0.04,0.16,-0.02,-0.01,-0.03,-0.01,0.05,-0.02,0.02,0.0,-0.0,0.0,-0.05,-0.07,0.14
Post_Semester_GPA,0.08,0.93,-0.02,0.04,0.03,0.01,0.14,-0.01,-0.02,1.0,0.17,-0.1,-0.0,-0.02,-0.0,0.0,0.02,-0.02,0.05,-0.04,-0.01,0.0,0.01,0.01,-0.02
Skill_Retention_Score,0.09,0.1,-0.12,0.33,0.2,-0.02,0.15,-0.08,-0.04,0.17,1.0,-0.06,-0.0,-0.02,-0.02,-0.01,0.05,-0.02,0.1,-0.06,-0.01,-0.02,0.02,0.01,-0.03
Burnout_Risk_Level,0.16,-0.1,0.47,0.01,0.01,0.1,-0.14,0.37,0.16,-0.1,-0.06,1.0,-0.02,-0.01,-0.05,-0.02,0.08,-0.02,0.03,0.01,-0.01,-0.01,-0.02,-0.02,0.05
Major_Category_Arts,0.0,0.0,-0.05,-0.02,-0.01,-0.01,0.01,-0.03,-0.02,-0.0,-0.0,-0.02,1.0,-0.21,-0.18,-0.14,-0.24,0.17,-0.09,0.01,-0.06,-0.03,0.01,-0.01,0.0
Major_Category_Business,-0.01,-0.01,-0.01,-0.05,-0.03,-0.01,-0.0,-0.01,-0.01,-0.02,-0.02,-0.01,-0.21,1.0,-0.29,-0.22,-0.38,-0.15,-0.15,0.01,0.37,-0.06,0.0,0.0,-0.01
Major_Category_Humanities,0.01,0.0,-0.1,-0.04,-0.02,-0.02,0.01,-0.07,-0.03,-0.0,-0.02,-0.05,-0.18,-0.29,1.0,-0.19,-0.33,0.33,-0.15,-0.02,-0.11,-0.06,0.0,0.0,-0.01
